archivo,linea,funcion,fragmento
archive-servicio.php,19,__,"'subtitle' => __( 'Soluciones integrales de remodelación para transformar cada espacio con diseño, calidad y precisión.', 'ce-construction' ),"
archive-servicio.php,38,esc_attr_e,"<nav class=""ce-mt-6"" aria-label=""<?php esc_attr_e( 'Paginación de servicios', 'ce-construction' ); ?>"">"
archive-servicio.php,41,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anterior', 'ce-construction' ),"
archive-servicio.php,42,esc_html__,"'next_text' => esc_html__( 'Siguiente', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
archive-servicio.php,50,esc_html_e,"<p><?php esc_html_e( 'Aún no hay servicios publicados. Vuelve pronto.', 'ce-construction' ); ?></p>"
comments.php,49,esc_html__,"esc_html__( '%1$s a las %2$s', 'ce-construction' ),"
comments.php,57,esc_html_e,"<span class=""ce-badge""><?php esc_html_e( 'Pendiente de aprobación', 'ce-construction' ); ?></span>"
comments.php,71,__,"'reply_text' => '<i class=""fa-solid fa-reply"" aria-hidden=""true""></i> ' . __( 'Responder', 'ce-construction' ),"
comments.php,91,esc_html_e,"esc_html_e( '1 comentario', 'ce-construction' );"
comments.php,96,number_format_i18n,esc_html( number_format_i18n( $comments_number ) )
comments.php,115,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anteriores', 'ce-construction' ),"
comments.php,116,esc_html__,"'next_text' => esc_html__( 'Siguientes', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
comments.php,124,esc_html_e,"<p class=""ce-comments__closed""><?php esc_html_e( 'Los comentarios están cerrados para esta entrada.', 'ce-construction' ); ?></p>"
comments.php,130,__,"'title_reply'        => __( 'Deja un comentario', 'ce-construction' ),"
comments.php,134,esc_html__,"'comment_field'      => '<div class=""ce-field""><label for=""comment"">' . esc_html__( 'Comentario', 'ce-construction' ) . ' <span class=""required"">*</span></la..."
comments.php,136,esc_html__,"'author' => '<div class=""ce-form__row ce-form__row--2""><div class=""ce-field""><label for=""author"">' . esc_html__( 'Nombre', 'ce-construction' ) . ' <span clas..."
comments.php,137,esc_html__,"'email'  => '<div class=""ce-field""><label for=""email"">' . esc_html__( 'Correo', 'ce-construction' ) . ' <span class=""required"">*</span></label><input id=""ema..."
comments.php,140,__,"'label_submit'       => __( 'Publicar comentario', 'ce-construction' ),"
header.php,12,esc_html_e,"<a class=""ce-sr-only"" href=""#ce-main-content""><?php esc_html_e( 'Saltar al contenido principal', 'ce-construction' ); ?></a>"
header.php,66,esc_attr_e,"<nav class=""ce-nav"" aria-label=""<?php esc_attr_e( 'Menú principal', 'ce-construction' ); ?>"">"
header.php,88,esc_html_e,"<?php esc_html_e( 'Cotizar', 'ce-construction' ); ?>"
header.php,92,esc_attr_e,"<button class=""ce-nav-toggle"" aria-label=""<?php esc_attr_e( 'Abrir menú', 'ce-construction' ); ?>"" aria-expanded=""false"" aria-controls=""ce-nav-mobile"">"
header.php,103,esc_attr_e,"<nav id=""ce-nav-mobile"" class=""ce-nav-mobile"" aria-label=""<?php esc_attr_e( 'Menú móvil', 'ce-construction' ); ?>"">"
header.php,114,esc_attr_e,"<button class=""ce-nav-mobile__close"" aria-label=""<?php esc_attr_e( 'Cerrar menú', 'ce-construction' ); ?>"">"
header.php,128,esc_html_e,"<?php esc_html_e( 'Cotización Gratuita', 'ce-construction' ); ?>"
single-equipo.php,41,esc_html_e,"<?php esc_html_e( 'Ver LinkedIn', 'ce-construction' ); ?>"
single-equipo.php,55,esc_html_e,"<?php esc_html_e( 'Volver al equipo', 'ce-construction' ); ?>"
template-parts/gallery.php,50,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Galería', 'ce-construction' ); ?></span>"
template-parts/gallery.php,51,esc_html_e,"<h2 class=""ce-section-title""><?php esc_html_e( 'Nuestro Trabajo en Imágenes', 'ce-construction' ); ?></h2>"
template-parts/about.php,27,esc_attr_e,"<img src=""<?php echo esc_url( CE_THEME_URI . '/assets/img/about-placeholder.jpg' ); ?>"" alt=""<?php esc_attr_e( 'Equipo de CE Construction en obra', 'ce-const..."
template-parts/about.php,32,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Quiénes Somos', 'ce-construction' ); ?></span>"
template-parts/about.php,33,esc_html__,"<h2 class=""ce-section-title""><?php echo $about_page ? esc_html( get_the_title( $about_page ) ) : esc_html__( 'Una empresa de remodelación con experiencia, va..."
template-parts/about.php,39,esc_html_e,"<?php esc_html_e( 'Transformamos espacios con calidad, diseño y atención al detalle, creando ambientes que reflejan las ideas y necesidades de nuestros clien..."
template-parts/about.php,45,esc_html_e,"<h4><i class=""fa-solid fa-bullseye"" style=""color:var(--ce-color-secondary);""></i> <?php esc_html_e( 'Misión', 'ce-construction' ); ?></h4>"
template-parts/about.php,46,esc_html_e,"<p><?php esc_html_e( 'Transformar hogares mediante remodelaciones de alta calidad, ofreciendo soluciones personalizadas, acabados impecables y una experienci..."
template-parts/about.php,49,esc_html_e,"<h4><i class=""fa-solid fa-eye"" style=""color:var(--ce-color-secondary);""></i> <?php esc_html_e( 'Visión', 'ce-construction' ); ?></h4>"
template-parts/about.php,50,esc_html_e,"<p><?php esc_html_e( 'Ser una empresa reconocida por la excelencia en remodelaciones residenciales, convirtiéndonos en la primera opción para quienes buscan ..."
template-parts/about.php,53,esc_html_e,"<h4><i class=""fa-solid fa-handshake"" style=""color:var(--ce-color-secondary);""></i> <?php esc_html_e( 'Valores', 'ce-construction' ); ?></h4>"
template-parts/about.php,54,esc_html_e,"<p><?php esc_html_e( 'Excelencia, Integridad, Perfección en los detalles, Compromiso, Responsabilidad, Pasión por transformar espacios', 'ce-construction' );..."
template-parts/about.php,57,esc_html_e,"<h4><i class=""fa-solid fa-award"" style=""color:var(--ce-color-secondary);""></i> <?php esc_html_e( 'Experiencia', 'ce-construction' ); ?></h4>"
template-parts/about.php,58,esc_html_e,<p><?php esc_html_e( 'No entregamos un proyecto hasta sentirnos orgullosos del resultado.
template-parts/sidebar-servicios.php,25,esc_attr_e,"<aside class=""ce-sidebar"" aria-label=""<?php esc_attr_e( 'Barra lateral de servicios', 'ce-construction' ); ?>"">"
template-parts/sidebar-servicios.php,30,esc_html_e,"<h4 class=""ce-mb-3""><?php esc_html_e( 'Todos los Servicios', 'ce-construction' ); ?></h4>"
template-parts/sidebar-servicios.php,50,esc_html_e,"<h4><?php esc_html_e( '¿Necesitas asesoría?', 'ce-construction' ); ?></h4>"
template-parts/sidebar-servicios.php,51,esc_html_e,"<p class=""ce-card__text""><?php esc_html_e( 'Escríbenos y te ayudamos a definir el alcance de tu proyecto.', 'ce-construction' ); ?></p>"
template-parts/sidebar-servicios.php,54,esc_html_e,"<?php esc_html_e( 'Cotizar ahora', 'ce-construction' ); ?>"
template-parts/google-reviews.php,75,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Reseñas de Google', 'ce-construction' ); ?></span>"
template-parts/google-reviews.php,76,esc_html_e,"<h2 class=""ce-section-title""><?php esc_html_e( 'Lo Que Dicen en Google', 'ce-construction' ); ?></h2>"
template-parts/page-hero.php,8,__,"*       'eyebrow'  => __( 'Servicios', 'ce-construction' ),"
template-parts/no-results.php,21,esc_html_e,"<h3 class=""ce-mb-3""><?php esc_html_e( 'No se encontró contenido', 'ce-construction' ); ?></h3>"
template-parts/no-results.php,22,esc_html_e,"<p class=""ce-card__text ce-mb-4""><?php esc_html_e( 'Intenta con otros términos de búsqueda, o vuelve al inicio.', 'ce-construction' ); ?></p>"
template-parts/no-results.php,26,esc_html_e,"<label for=""ce-fallback-search"" class=""ce-sr-only""><?php esc_html_e( 'Buscar', 'ce-construction' ); ?></label>"
template-parts/no-results.php,27,esc_attr_e,"<input type=""search"" id=""ce-fallback-search"" name=""s"" placeholder=""<?php esc_attr_e( '¿Qué estás buscando?', 'ce-construction' ); ?>"" value=""<?php echo esc_a..."
template-parts/no-results.php,31,esc_html_e,"<?php esc_html_e( 'Buscar', 'ce-construction' ); ?>"
template-parts/no-results.php,37,esc_html_e,"<?php esc_html_e( 'Volver al inicio', 'ce-construction' ); ?>"
template-parts/financing.php,44,__,"$title = get_theme_mod( 'ce_financing_title', __( 'Opciones de financiamiento a tu medida', 'ce-construction' ) );"
template-parts/financing.php,45,__,"$text  = get_theme_mod( 'ce_financing_text', __( 'Habla con nosotros sobre planes de pago flexibles y pre-aprobación sin afectar tu historial crediticio.', '..."
template-parts/financing.php,46,__,"$btn_text = get_theme_mod( 'ce_financing_btn_text', __( 'Conocer opciones de pago', 'ce-construction' ) );"
template-parts/financing.php,74,esc_html_e,"<?php esc_html_e( 'Escríbenos', 'ce-construction' ); ?>"
template-parts/services.php,27,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Lo que hacemos', 'ce-construction' ); ?></span>"
template-parts/services.php,28,esc_html_e,"<h2 class=""ce-section-title""><?php esc_html_e( 'Nuestros Servicios', 'ce-construction' ); ?></h2>"
template-parts/services.php,30,esc_html_e,"<?php esc_html_e( 'Soluciones integrales de remodelación para transformar cada espacio con diseño, calidad y precisión.', 'ce-construction' ); ?>"
template-parts/services.php,54,esc_html_e,"<?php esc_html_e( 'Conocer más', 'ce-construction' ); ?>"
template-parts/services.php,68,esc_html_e,"<?php esc_html_e( 'Ver todos los servicios', 'ce-construction' ); ?>"
template-parts/faq.php,46,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Dudas Frecuentes', 'ce-construction' ); ?></span>"
template-parts/faq.php,47,esc_html_e,"<h2 class=""ce-section-title""><?php esc_html_e( 'Preguntas Frecuentes', 'ce-construction' ); ?></h2>"
template-parts/faq.php,49,esc_html_e,"<?php esc_html_e( 'Respuestas rápidas a las preguntas que más nos hacen nuestros clientes antes de iniciar un proyecto.', 'ce-construction' ); ?>"
template-parts/content-equipo.php,35,__,"echo esc_attr( sprintf( __( 'Perfil de LinkedIn de %s', 'ce-construction' ), get_the_title() ) );"
template-parts/content-fallback.php,33,esc_html_e,"<?php esc_html_e( 'Leer más', 'ce-construction' ); ?>"
template-parts/sidebar-proyectos.php,25,esc_attr_e,"<aside class=""ce-sidebar"" aria-label=""<?php esc_attr_e( 'Barra lateral de proyectos', 'ce-construction' ); ?>"">"
template-parts/sidebar-proyectos.php,30,esc_html_e,"<h4 class=""ce-mb-3""><?php esc_html_e( 'Otros Proyectos', 'ce-construction' ); ?></h4>"
template-parts/sidebar-proyectos.php,50,esc_html_e,"<h4><?php esc_html_e( '¿Tienes un proyecto en mente?', 'ce-construction' ); ?></h4>"
template-parts/sidebar-proyectos.php,51,esc_html_e,"<p class=""ce-card__text""><?php esc_html_e( 'Cuéntanos los detalles y te enviamos una cotización sin costo.', 'ce-construction' ); ?></p>"
template-parts/sidebar-proyectos.php,54,esc_html_e,"<?php esc_html_e( 'Cotizar ahora', 'ce-construction' ); ?>"
template-parts/content-proyecto.php,40,date_i18n,"<span><i class=""fa-regular fa-calendar"" aria-hidden=""true""></i> <?php echo esc_html( date_i18n( get_option( 'date_format' ), strtotime( $fecha ) ) ); ?></span>"
template-parts/content-proyecto.php,44,esc_html_e,"<?php esc_html_e( 'Ver proyecto', 'ce-construction' ); ?>"
template-parts/quote-form.php,194,esc_html_e,"<?php esc_html_e( 'Respuesta en 24h', 'ce-construction' ); ?>"
template-parts/quote-form.php,202,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Cotización Gratuita', 'ce-construction' ); ?></span>"
template-parts/quote-form.php,203,esc_html_e,"<h2 class=""ce-section-title""><?php esc_html_e( 'Cuéntanos sobre tu proyecto', 'ce-construction' ); ?></h2>"
template-parts/quote-form.php,205,esc_html_e,"<?php esc_html_e( 'Completa el formulario con los detalles de tu proyecto y nuestro equipo te contactará con una propuesta a medida, sin costo ni compromiso...."
template-parts/quote-form.php,208,esc_html_e,"<li class=""ce-mb-2""><i class=""fa-solid fa-circle-check"" style=""color:var(--ce-color-success);""></i> <?php esc_html_e( 'Respuesta en menos de 24 horas', 'ce-c..."
template-parts/quote-form.php,209,esc_html_e,"<li class=""ce-mb-2""><i class=""fa-solid fa-circle-check"" style=""color:var(--ce-color-success);""></i> <?php esc_html_e( 'Sin costo ni compromiso', 'ce-construc..."
template-parts/quote-form.php,210,esc_html_e,"<li class=""ce-mb-2""><i class=""fa-solid fa-circle-check"" style=""color:var(--ce-color-success);""></i> <?php esc_html_e( 'Asesoría de expertos certificados', 'c..."
template-parts/quote-form.php,235,esc_html_e,"<label for=""ce_website<?php echo esc_attr( $ce_quote_id_suffix ); ?>""><?php esc_html_e( 'No completar este campo', 'ce-construction' ); ?></label>"
template-parts/quote-form.php,241,esc_html_e,"<label for=""ce_name<?php echo esc_attr( $ce_quote_id_suffix ); ?>""><?php esc_html_e( 'Nombre', 'ce-construction' ); ?> <span class=""required"">*</span></label>"
template-parts/quote-form.php,246,esc_html_e,"<label for=""ce_email<?php echo esc_attr( $ce_quote_id_suffix ); ?>""><?php esc_html_e( 'Correo', 'ce-construction' ); ?> <span class=""required"">*</span></label>"
template-parts/quote-form.php,254,esc_html_e,"<label for=""ce_phone<?php echo esc_attr( $ce_quote_id_suffix ); ?>""><?php esc_html_e( 'Teléfono', 'ce-construction' ); ?> <span class=""required"">*</span></la..."
